States_Uts,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012
Andhra Pradesh,3824,2432,1591,4469,2877,2205,1660
Arunachal Pradesh,12,9,25,20,8,8,25
Assam,617,319,530,279,361,760,347
Bihar,1665,1949,1944,1011,930,1590,1572
Chhattisgarh,374,401,855,266,1241,304,277
Goa,72,1,42,15,29,30,23
Gujarat,2038,328,540,1339,234,212,231
Haryana,350,520,427,381,365,368,316
Himachal Pradesh,323,214,34,51,101,58,50
Jammu & Kashmir,175,21,378,62,133,92,212
Jharkhand,346,987,725,695,1005,1220,909
Karnataka,3496,203,513,967,299,541,577
Kerala,674,69,67,63,65,67,168
Madhya Pradesh,3569,6985,1899,4480,4082,4028,5374
Maharashtra,3216,3767,2169,1868,2407,2452,2350
Manipur,0,39,105,138,33,140,0
Meghalaya,40,9,9,39,33,93,56
Mizoram,11,47,18,15,27,17,46
Nagaland,42,0,9,0,2,4,5
Odisha,708,734,819,813,858,1141,846
Punjab,187,909,130,488,539,226,82
Rajasthan,2800,1839,1132,1139,1804,1159,779
Sikkim,50,41,52,0,36,27,1
Tamil Nadu,462,346,363,2208,2439,3096,3096
Tripura,0,0,23,0,0,19,7
Uttarakhand,47,23,9,4,0,1,240
Uttar Pradesh,2983,2850,4155,4404,2305,4706,4558
West Bengal,257,971,1555,1894,8663,0,NA
Andaman & Nicobar Islands,32,27,23,27,26,21,18
Chandigarh,0,5,4,0,0,NA,17
Dadra & Nagar Haveli,0,0,0,0,73,0,58
Daman & Diu,2,0,1,0,1,1,7
Delhi,0,0,0,8,12,46,60
Lakshadweep,0,0,0,1,0,0,2
Puducherry,1,1,4,8,12,23,10
All India,28373,26046,20150,27152,31000,24655,23979
