State or union territory,Population (2011 Census)
West Bengal,91347736
Uttarakhand,10116752
Uttar Pradesh,199581477
Tripura,3671032
Tamil Nadu,72138958
Sikkim,607688
Rajasthan,68621012
Punjab,27704236
Puducherry,1244464
Odisha,41947358
Nagaland,1980602
Mizoram,1091014
Meghalaya,2964007
Manipur,2721756
Maharashtra,112372972
Madhya Pradesh,72597565
Lakshadweep,64429
Kerala,33387677
Karnataka,61130704
Jharkhand,32966238
Jammu and Kashmir,12548926
Himachal Pradesh,6856509
Haryana,25753081
Gujarat,60383628
Goa,1457723
Delhi,16753235
Daman and Diu,242911
Dadra and Nagar Haveli,342853
Chhattisgarh,25540196
Chandigarh,1054686
Bihar,103804630
Assam,31169272
Arunachal Pradesh,1382611
Andhra Pradesh,84665533
Andaman and Nicobar Islands,379944
